Dimension,ASIN,Date First Available,Manufacturer,Country of Origin,Best Sellers Rank,Color,Item Model Number,Item Weight,Price,AmazonGlobal Shipping,Estimated Import Charges,Day Delivered
0.5 x 6 x 5 inches; 4.16 ounces,B071H8Y2SK,"April 26, 2017","Avanquest Publishing USA, Inc.",USA,#965 in Software (See Top 100 in Software)  #47 in Children's Software,None,L-0493,4.2 ounces,$8.47,$26.03,$0.00,12
0.5 x 6 x 5 inches; 2.96 ounces,B076K4FXG2,"October 24, 2017","Avanquest Publishing USA, Inc.",USA,"#1,471 in Software (See Top 100 in Software)  #101 in Children's Software",None,L-2979,2.96 ounces,$9.99,$25.75,$0.00,12
