Dimension,ASIN,Date First Available,Manufacturer,Country of Origin,Best Sellers Rank,Color,Item Model Number,Item Weight,Price,AmazonGlobal Shipping,Estimated Import Charges,Day Delivered
11.2 x 9.9 x 3.7 inches,B00902WXR2,None,No,China,"#35,714 in Home & Kitchen (See Top 100 in Home & Kitchen)  #250 in Sheet & Pillowcase Sets",White,venshtccsld18k_white,3.1 pounds,$27.50,$40.11,$19.31,N/A
11 x 9.7 x 3.6 inches,B00EJQT0ES,None,No,China,"#1,916,758 in Home & Kitchen (See Top 100 in Home & Kitchen)  #5,539 in Sheet & Pillowcase Sets",Yellow,venshtccsld18q_yellow,3.24 pounds,$25.64,$37.96,$18.25,N/A
22 x 17 x 13 inches,B06Y2NBNB3,None,No,China,"#727,162 in Home & Kitchen (See Top 100 in Home & Kitchen)  #1,631 in Bedding Comforter Sets",White/Grey,221926,7.1 pounds,$60.99,$109.17,$0.00,13
16 x 11.5 x 6 inches,B0CCBZXMZY,None,"The Northwest Group, LLC",USA,"#21,998 in Home & Kitchen (See Top 100 in Home & Kitchen)  #14 in Kids' Comforter Sets",Friendly Battle,808,4.63 pounds,$79.99,$56.68,$0.00,13
12.83 x 11.22 x 3.82 inches,B0CK53F6D5,None,Revman International,India,"#1,351,580 in Home & Kitchen (See Top 100 in Home & Kitchen)  #3,802 in Sheet & Pillowcase Sets",Flax Beige,USHSA01277271,4.86 pounds,$116.99,$44.42,$44.19,N/A
13.19 x 11.65 x 3.98 inches,B0BPTJTFBY,None,"The Northwest Group, LLC",China,"#90,472 in Home & Kitchen (See Top 100 in Home & Kitchen)  #762 in Kids' Comforter Sets",Optical White,S03,2.48 pounds,$16.99,$42.55,$17.18,13
13 x 11 x 4.8 inches,B0CK55FFZ6,None,Revman International,India,"#495,488 in Home & Kitchen (See Top 100 in Home & Kitchen)  #1,530 in Sheet & Pillowcase Sets",Dawn Blue,USHSA01277273,5.1 pounds,$116.99,$45.34,$44.43,N/A
79 x 63 x 27 inches,B0CCVQ11CK,None,None,None,"#6,391 in Baby (See Top 100 in Baby)  #23 in Playard Bedding  #72 in Baby Playards",None,"HN-669-79""x63"" Dark Grey",5.33 pounds,$74.22,$131.34,$112.72,13
13.07 x 10.75 x 3.31 inches,B0C5W7DQB5,None,ICIL,India,"#39,850 in Home & Kitchen (See Top 100 in Home & Kitchen)  #329 in Sheet & Pillowcase Sets",Fresh Ivory,LC-OC300-SS-FIV-T,3.1 pounds,$39.99,$38.34,$22.16,13
