Dimension,ASIN,Date First Available,Manufacturer,Country of Origin,Best Sellers Rank,Color,Item Model Number,Item Weight,Price,AmazonGlobal Shipping,Estimated Import Charges,Day Delivered
"6.62""L x 0.88""W",B00DS5H0OI,"June 28, 2013",Prime-Line Products,China,"#53,583 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #198 in Sliding Door Hardware",White,C 1226,9.8 ounces,$15.85,$27.46,$22.32,13
10.2 x 8.9 x 5.7 inches,B000BQ85U0,"August 17, 2005",No,USA,"#52,353 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #141 in Door Hinges",Zinc,N190-736,0.01 ounces,$7.18,$26.71,$0.00,13
216 x 0.19 x 0.16 inches,B000BQSX52,"June 15, 2006",No,USA,"#33,407 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #143 in Weather Stripping",Gray,T 8658,0.3 ounces,$5.80,$26.80,$0.00,13
38 x 5.75 x 4 inches,B000COB13E,"June 16, 2006",No,USA,"#50,592 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #47 in Thresholds",Aluminum Finish,8102,1.39 pounds,$21.14,$32.17,$20.87,13
4 x 4 x 1 inches,B000BQK9XG,"February 17, 2007",Frost King,None,"#48,227 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #194 in Weather Stripping",White,None,1.76 ounces,None,None,None,N/A
8.78 x 7.09 x 1.18 inches,B07Z7W122N,None,Hillman,China,"#45,821 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #158 in Sliding Door Hardware",None,852114,1.11 pounds,$15.99,$29.42,$23.31,13
2.5 x 28 x 2.3 inches,B07BR5VHP3,"March 27, 2018",Security Equipment Corporation,USA,"#35,756 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #120 in Sliding Door Hardware",None,HS-DSB,2 pounds,$24.98,$36.08,$30.64,13
3 x 2.5 x 0.63 inches,B004ISI5D4,"January 12, 2011",No,Mexico,"#26,447 in Office Products (See Top 100 in Office Products)  #253 in Door Stops",Black,70A-BLK,1.02 ounces,$2.80,$25.23,$0.00,13
9 x 7 x 3 inches,B000EEX5UY,"January 1, 2008",No,China,"#61,789 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #237 in Sliding Door Hardware",Blue,3111001,9.6 ounces,$16.79,$29.21,$6.21,13
7.38 x 4.75 x 1.75 inches,B000NHRYMW,"May 10, 2011",National Hardware,USA,"#20,192 in Office Products (See Top 100 in Office Products)  #203 in Door Stops",Brass,N328-161,5.6 ounces,$5.79,$26.74,$0.00,13
