Dimension,ASIN,Date First Available,Manufacturer,Country of Origin,Best Sellers Rank,Color,Item Model Number,Item Weight,Price,AmazonGlobal Shipping,Estimated Import Charges,Day Delivered
0.04 x 0.59 x 0.43 inches,B07P4HBRMV,"March 30, 2019",No,China,#11 in Micro SD Memory Cards,None,SDSQQNR-256G-GN6IA,0.16 ounces,$22.99,$25.18,$6.45,12
None,B00YXO5U40,"June 11, 2015",No,China,#47 in Video Games (See Top 100 in Video Games)  #1 in PlayStation 5 Headsets  #2 in Xbox One Headsets  #2 in PlayStation Accessories,None,TBS-2303-05,5.4 ounces,$24.95,$29.83,$21.40,N/A
1 x 1 x 1 inches,B07FNKJD24,"August 7, 2018",No,Vietnam,"#1,081 in Office Products (See Top 100 in Office Products)  #25 in Printer Toner Cartridges",None,TN227BK,1.5 pounds,$78.98,$36.01,$13.86,12
3.31 x 4.65 x 0.98 inches,B09738CV2G,"July 16, 2021",Elgato,Taiwan,#165 in Video Games (See Top 100 in Video Games)  #3 in PC Gaming Keyboards,15 Keys (MK.2),10GBA9901,5.1 ounces,$129.90,$30.02,$18.85,12
1 x 1 x 1 inches,B003YFHCKY,"October 16, 2008",TN450,None,#825 in Office Products (See Top 100 in Office Products)  #16 in Printer Toner Cartridges,Black,TN450,1.74 pounds,$61.49,$39.54,$12.31,12
36 x 0.22 x 0.22 inches,B08BS181P2,"March 22, 2021",Amazon,Vietnam,#298 in Our Brands (See Top 100 in Our Brands)  #2 in HDMI Cables,Black,HDMI2.1-BLACK-3FT-BASIC,2.03 ounces,$7.99,$25.67,$0.00,12
1 x 1 x 1 inches,B00LGCUPQU,"February 8, 2012",No,Vietnam,#813 in Office Products (See Top 100 in Office Products)  #15 in Printer Toner Cartridges,None,TN630,1.4 pounds,$39.98,$37.41,$9.69,12
73.62 x 0.42 x 0.22 inches,B01GGKZ2SC,"February 14, 2017",Amazon,China,#409 in Our Brands (See Top 100 in Our Brands)  #34 in USB Cables,White,L6LUC143-CS-R,1.52 ounces,$14.03,$25.83,$5.52,12
120.87 x 0.45 x 0.25 inches,B0BZHQLR4Q,"September 10, 2023",Amazon,Vietnam,#28 in Lightning Cables,White,CUDU03L-AC201-DF,3.68 ounces,$9.99,$26.03,$0.00,12
6.3 x 4.33 x 1.38 inches,B00NH13DV2,"February 18, 2015",No,China,#388 in Our Brands (See Top 100 in Our Brands)  #29 in USB Cables,Black,A6TK,3.78 ounces,$9.89,$26.03,$0.00,12
"14.2""D x 17.1""W x 7.1""H",B092YN1JK5,"May 3, 2021",Brother,Philippines,"#2,524 in Office Products (See Top 100 in Office Products)  #180 in Inkjet Printer Ink Cartridges  #665 in Climate Pledge Friendly: Electronics",None,MFCJ4335DW,17.6 pounds,$179.99,$120.40,$34.44,12
10.91 x 7.13 x 0.67 inches,B08T5WPC53,"January 15, 2021",AINOPE,None,#601 in Climate Pledge Friendly (See Top 100 in Climate Pledge Friendly)  #18 in Climate Pledge Friendly: Computers  #20 in USB Cables,Grey,AP543-2M,4.2 ounces,$7.81,$26.49,$0.00,12
0.09 x 0.94 x 1.26 inches,B08YF7PB14,"March 9, 2021",No,Taiwan,#21 in SecureDigital Memory Cards,Black,SDSDXDK-128G-GN4IN,0.071 ounces,$129.99,$25.39,$18.35,12
72 x 0.8 x 0.43 inches,B014I8SSD0,"November 21, 2015",Amazon,Vietnam,#319 in Our Brands (See Top 100 in Our Brands)  #3 in HDMI Cables,Black,HDMI-6FT-BLACK-1P,4.2 ounces,$7.99,$26.52,$0.00,12
7.76 x 4.69 x 2.32 inches,B0CW25XR5R,"April 23, 2024",RAZER,China,#325 in Video Games (See Top 100 in Video Games)  #19 in PC Gaming Mice,Black,RZ01-05120100-R3U1,1.9 ounces,$157.95,$27.70,$21.71,12
2.96 x 5.12 x 1.67 inches,B09C13PZX7,"September 8, 2021",Razer,China,#130 in Video Games (See Top 100 in Video Games)  #2 in Mac Gaming Mice  #9 in PC Gaming Mice  #116 in Climate Pledge Friendly: Computers,Classic Black,RZ01-04000100-R3U1,3.56 ounces,$49.99,$26.67,$9.60,12
5.01 x 2.86 x 1.69 inches,B094PS5RZQ,"June 1, 2021",Razer,China,#26 in Video Games (See Top 100 in Video Games)  #3 in PC Gaming Mice  #37 in Climate Pledge Friendly: Computers,Classic Black,RZ01-03850100-R3U1,4.6 ounces,$24.98,$26.59,$6.82,12
6.5 x 3.94 x 7.88 inches,B08FQG96RP,"September 22, 2020",Razer,China,#260 in Video Games (See Top 100 in Video Games)  #33 in PC Game Headsets,None,RZ04-03220100-R3U1,11.3 ounces,$129.99,$37.64,$19.70,12
7.87 x 6.3 x 0.35 inches,B079HL9YSF,"February 28, 2018",No,Indonesia,#1 in Computer Graphics Tablets,Black,CTL4100,8.2 ounces,$39.95,$29.02,$8.76,12
17.39 x 5.01 x 1.06 inches,B07WJ5D3H4,"December 2, 2019",Amazon,China,#580 in Our Brands (See Top 100 in Our Brands)  #5 in Computer Keyboards,None,MD005,15.7 ounces,$18.99,$30.02,$6.54,12
0.04 x 0.59 x 0.53 inches,B08T8LL7G8,"January 17, 2021",Lexar International,Taiwan,#62 in Micro SD Memory Cards,None,LMSPLAY001T-BNNNU,0.025 ounces,$71.49,$25.16,$11.82,12
7.6 x 6.76 x 3.86 inches,B086PKMZ21,"July 30, 2020",Razer,China,#173 in Video Games (See Top 100 in Video Games)  #21 in PC Game Headsets,None,RZ04-03240100-R3U1,8.5 ounces,$49.33,$34.88,$31.98,12
7.6 x 6.76 x 3.86 inches,B086PKMZ21,"July 30, 2020",Razer,China,#173 in Video Games (See Top 100 in Video Games)  #21 in PC Game Headsets,None,RZ04-03240100-R3U1,8.5 ounces,$49.33,$34.88,$31.98,12
7.6 x 6.76 x 3.86 inches,B086PKMZ21,"July 30, 2020",Razer,China,#173 in Video Games (See Top 100 in Video Games)  #21 in PC Game Headsets,None,RZ04-03240100-R3U1,8.5 ounces,$49.33,$34.88,$31.98,12
35.43 x 0.25 x 0.25 inches; 1.23 ounces,B00NH13S44,"March 15, 2015",Amazon,China,Best Sellers Rank:#421 in Our Brands (See Top 100 in Our Brands)#35 inUSB Cables,None,IFRI,None,$6.29,$25.35,$0.00,12
35.43 x 0.25 x 0.25 inches; 1.23 ounces,B00NH13S44,"March 15, 2015",Amazon,China,Best Sellers Rank:#421 in Our Brands (See Top 100 in Our Brands)#35 inUSB Cables,None,IFRI,None,$6.29,$25.35,$0.00,12
20.5 x 5.8 x 1.8 inches,B0BWNBYWJZ,"February 23, 2023",Dell Technologies,China,#12 in Computer Keyboard & Mouse Combos,Black,KM3322W,1.23 pounds,$24.99,$32.17,$7.44,12
27.4 x 70.9 x 39.3 inches,B0828MQKFY,"January 3, 2020",Brother,China,"#3,399 in Office Products (See Top 100 in Office Products)  #72 in Printer Toner Cartridges",None,TN4313PK,3.6 pounds,$218.49,$69.38,$33.07,12
1 x 1 x 1 inches,B01ARMJWT0,"January 12, 2016",DR820,None,"#2,171 in Office Products (See Top 100 in Office Products)  #2 in Printer Drum Kits",Black,DR820,1.5 pounds,$129.98,$43.13,$20.31,12
1 x 1 x 1 inches,B01ARMJWT0,"January 12, 2016",DR820,None,"#2,171 in Office Products (See Top 100 in Office Products)  #2 in Printer Drum Kits",Black,DR820,1.5 pounds,$129.98,$43.13,$20.31,12
0.04 x 0.43 x 0.59 inches,B07R8GVGN9,"May 21, 2019",PNY,Taiwan,#15 in Micro SD Memory Cards,"Dark Gray, Green,Grey",P-SDU32GU185GW-GE,0.32 ounces,$6.99,$25.15,$0.00,12
0.04 x 0.43 x 0.59 inches,B07R8GVGN9,"May 21, 2019",PNY,Taiwan,#15 in Micro SD Memory Cards,"Dark Gray, Green,Grey",P-SDU32GU185GW-GE,0.32 ounces,$6.99,$25.15,$0.00,12
8.46 x 6.02 x 0.63 inches; 5.3 ounces,B08J2HXYPH,"September 15, 2020",INIU,China,Best Sellers Rank:#928 in Climate Pledge Friendly (See Top 100 in Climate Pledge Friendly)#28 inClimate Pledge Friendly: Computers#30 inUSB Cables,None,DI-D5CC,None,$10.99,$26.39,$0.00,12
8.46 x 6.02 x 0.63 inches; 5.3 ounces,B08J2HXYPH,"September 15, 2020",INIU,China,Best Sellers Rank:#928 in Climate Pledge Friendly (See Top 100 in Climate Pledge Friendly)#28 inClimate Pledge Friendly: Computers#30 inUSB Cables,None,DI-D5CC,None,$10.99,$26.39,$0.00,12
8.46 x 6.02 x 0.63 inches; 5.3 ounces,B08J2HXYPH,"September 15, 2020",INIU,China,Best Sellers Rank:#928 in Climate Pledge Friendly (See Top 100 in Climate Pledge Friendly)#28 inClimate Pledge Friendly: Computers#30 inUSB Cables,None,DI-D5CC,None,$10.99,$26.39,$0.00,12
