Dimension,ASIN,Date First Available,Manufacturer,Country of Origin,Best Sellers Rank,Color,Item Model Number,Item Weight,Price,AmazonGlobal Shipping,Estimated Import Charges,Day Delivered
9.06 x 5.32 x 1.97 inches,B0009YJ3QE,"October 5, 2004",PetStages,United States,None,Multicolor,126,17.69 g,$5.59,$27.34,$0.00,14
3 x 3 x 10.5 inches,B0054WTPBY,"May 15, 2011",Cosmos Corporation,United States,None,Clear,FBWA33.8Z,1.1 Kilograms,$20.11,$34.69,$27.70,14
2.5 x 2.5 x 2.5 inches,B07P5PTZWT,"February 27, 2019",Outward Hound,China,None,Multi,68002,0.2 Kilograms,$4.99,$29.20,$0.00,14
6.62 x 2.66 x 2.56 inches,B09ZLSR8PH,"May 5, 2022","Best Pet Supplies, LLC",China,None,Assorted Colors 2,MX2-150B,12.3 ounces,$6.99,$28.06,$0.00,14
8.75 x 2.25 x 1.5 inches,B01330IKAA,"July 22, 2015",Fetch for Pets,USA,None,WHITE,FF7120,0.5 Pounds,$9.04,$27.38,$0.00,14
11.6 x 11.6 x 2 inches,B082748C86,None,Outward Hound,China,#664 in Pet Supplies (See Top 100 in Pet Supplies)  #7 in Dog Squeak Toys,None,69540,1.65 pounds,$6.63,$34.36,$20.96,14
"12""L x 12""W x 16.75""H",B002Q7SZ2A,"September 23, 2009",No,USA,#157 in Pet Supplies (See Top 100 in Pet Supplies)  #2 in Dog Food Storage,None,4338,3.74 pounds,$21.71,$94.02,$55.72,14
5.13 x 11.25 x 11.38 inches,B07GL3HLW5,"August 17, 2018",Simple Solution,China,None,white,10660-12PONL,2.53 Pounds,$9.58,$47.51,$0.00,14
3.25 x 1.63 x 9 inches,B00757W4KK,"February 3, 2012",The Hartz Mountain Corporation,China,None,Black/Violet,12411,1 Ounces,$5.97,$26.44,$0.00,14
4.7 x 4.7 x 4.7 inches,B004T5X0N6,"April 15, 2011",Canine Hardware,China,None,Orange & Blue Fetch Ball,213201,0.15 Pounds,$5.74,$28.79,$0.00,14
5.63 x 1.38 x 5.63 inches,B003SN5YKC,"June 17, 2010",Central Garden & Pet,United States,None,Textured Ring,NCF315P,0.8 Ounces,$7.56,$27.67,$0.00,14
1.9 x 1.5 x 8.45 inches,B08QJPJNGY,"December 14, 2020",Fetch for Pets,China,None,White,FF12300,6.2 Ounces,$5.39,$26.75,$0.00,14
6.38 x 6.38 x 2.38 inches,B00LM96FNO,"August 29, 2014",Van Ness,India,None,Natural,SSLW3,0.2 Pounds,$2.69,$27.99,$0.00,14
35 x 22 x 3.5 inches,B0CNXCCXC9,"March 11, 2024",OhGeni,China,None,Gray,PBS3V203,3.08 pounds,$19.99,$44.72,$0.00,N/A
21.25 x 8.13 x 0.2 inches,B071HPBSHV,"October 23, 2017",Amazon,China,None,White,Male wrap-S,0.05 Pounds,$14.58,$39.57,$0.00,14
7.29 x 1.81 x 1.77 inches,B094783CJ9,"May 5, 2021",Douxo S3,USA,None,Translucent,D98310M,7 ounces,$20.12,$26.75,$23.97,14
14.29 x 6.61 x 6.47 inches,B0C5XNGK5B,"May 22, 2023",SZHLUX,USA,None,Green,SZ-BBC-G,1.43 pounds,$12.99,$42.53,$0.00,14
2.67 x 2.35 x 9.14 inches,B0009F3MNS,"April 28, 2005",Hartz,China,None,Multi-Colored,3270083801,4.8 Ounces,$8.95,$27.89,$0.00,14
7 x 2 x 1.5 inches,B09G1XHH5Y,"September 12, 2021","Best Pet Supplies, LLC",China,#472 in Pet Supplies (See Top 100 in Pet Supplies)  #7 in Dog Waste Bags,Purple (Lavender Scented),LA-150B,11.4 ounces,$5.94,$27.82,$0.00,13
None,B00TFYT02G,"June 19, 2012",No,Taiwan,#480 in Pet Supplies (See Top 100 in Pet Supplies)  #8 in Dog Waste Bags,Blue,1000-BL-POOP-W-D,3.4 pounds,$24.45,$40.83,$0.00,13
2.87 x 0.13 x 6.22 inches,B08T23JSL6,"January 14, 2021",Vet's Best,USA,None,White,1030764,5.9 ounces,$12.98,$26.47,$22.58,13
"17.1""L x 23.6""W",B08F579BWY,None,FluffyDream,China,#385 in Pet Supplies (See Top 100 in Pet Supplies)  #7 in Disposable Dog Training Pads,Blue,Small-Size Pet Pad,2.68 pounds,$12.99,$41.06,$0.00,13
26 x 2.8 x 2.6 inches,B00006IX59,"May 28, 2004",Doskocil,Andorra,None,"Blue,Orange",6400,0.01 Ounces,$8.99,$28.55,$0.00,13
9.5 x 9.8 x 5.5 inches,B0057LAICM,"June 21, 2011",Petmate,USA,None,Blue,24540,0.45 Pounds,$8.86,$39.68,$24.47,13
5.5 x 5.5 x 5.5 inches,B00PQ5UH0C,"November 11, 2014",Allstar Innovations,USA,None,Green,WG021236,0.74 Pounds,$14.99,$31.34,$23.43,13
27.25 x 2.63 x 26 inches,B01HG7E5R8,None,No,None,#503 in Baby (See Top 100 in Baby)  #11 in Door & Stair Baby Gates,None,8718,2.3 pounds,$24.99,$75.37,$48.57,13
10 x 10 x 10 inches,B01MTEWV8L,"April 1, 2017","Gramercy Products, Inc.",China,None,Blue,2864,0.2 Kilograms,$5.90,$27.63,$0.00,13
1.56 x 1.81 x 7 inches,B00025K0R6,"June 15, 2004",St.Jon Pet Care (Virbac),USA,None,Blue,484023,175 Grams,$10.03,$27.02,$0.00,13
8.5 x 2.5 x 2.5 inches,B001AQZ4FE,"March 31, 2009",Canine Hardware,Vietnam,None,Multi,18300,0.05 Pounds,$8.89,$27.61,$0.00,13
12.75 x 8.75 x 1.75 inches,B0711Y9XTF,"July 13, 2017",Outward Hound,China,None,Dog Brick,67333,1.2 Pounds,$8.38,$32.61,$20.96,13
28 x 34 x 0.1 inches,B00ENL0JJO,"August 19, 2013",All-Absorb,China,None,Blue,A02,7.5 pounds,$19.42,$61.62,$0.00,13
1.98 x 1.98 x 7.8 inches,B00GZQYLOE,"January 1, 2013",Wahl Clipper Corp.,USA,None,Coconut Lime Verbana,820015,0.63 Pounds,$7.49,$27.54,$0.00,13
3.75 x 0.5 x 1.75 inches,B0052L9Q1Q,"May 25, 2011",Central Garden & Pet,United States,None,Ring Bone,N901P,1.28 ounces,$3.76,$25.47,$0.00,13
5.96 x 2.48 x 1.82 inches,B0947674MT,"May 5, 2021",Douxo S3,USA,None,Translucent,D98410M,6.7 Ounces,$19.93,$27.18,$24.09,13
"21""L x 21""W",B00PG91SSI,None,No,USA,#880 in Pet Supplies (See Top 100 in Pet Supplies)  #14 in Disposable Dog Training Pads,Lavender,3270014838,2.98 pounds,$17.97,$44.01,$0.00,13
9.84 x 4.13 x 10.63 inches,B07KKMS565,"October 3, 2018",OUT!,China,None,None,70798P-12PONL,1.63 Pounds,$11.28,$38.88,$22.85,13
6.5 x 2 x 8.75 inches,B07MZDTG76,"July 27, 2018",SPECTRUM BRANDS PET LLC,USA,None,Blue,P-92926,0.25 Pounds,$35.25,$28.87,$28.71,13
1.4 x 0.63 x 18.9 inches,B000WJ2GJ2,"October 15, 2007",Radio Systems Corporation,USA,None,None,PAC11-11039,1.26 Pounds,$24.95,$30.02,$24.86,13
0.75 x 3.75 x 5 inches,B0009F3MLU,"April 28, 2005",Hartz,USA,None,White,032700804848,0.1 Ounces,$3.62,$25.44,$0.00,13
6.3 x 8.07 x 7.48 inches,B07CZG69Q9,"May 1, 2018",Fetch for Pets,China,None,Charcoal,FF8882,3.02 pounds,$14.99,$43.55,$0.00,13
7.75 x 7.75 x 7.75 inches,B0084DRJKO,"May 18, 2012",Doskocil,China,None,Multi,251201,0.2 Kilograms,$16.77,$41.42,$26.23,13
4.5 x 3 x 11 inches,B017A5GP1U,"August 27, 2012","Sunshine Makers, Inc.",USA,None,Milky White,432107,2.31 Pounds,$10.98,$34.49,$23.31,13
1.98 x 3.1 x 8.5 inches,B09Y7LKFSQ,"April 18, 2022","Spectrum Brands, LLC",USA,None,Multi,P-93317,1.18 pounds,$12.75,$29.74,$21.95,13
8 x 1.5 x 1.5 inches,B007R1BN56,"March 8, 2012",PetStages,United States,None,Brown,219,0.41 Pounds,$5.92,$27.38,$0.00,13
12.6 x 11.4 x 16.5 inches,B07KHPLFMS,"November 17, 2016",Texsens,China,None,Black,Innovative Traveler Bubble Backpack,100 Grams,$35.87,$38.93,$42.33,13
2 x 2 x 2 inches,B00280MUVC,"April 1, 2009",Canine Hardware,Vietnam,None,2,17020,0.1 Grams,$7.05,$30.78,$0.00,13
36 x 30 x 0.1 inches,B07VC4KZ8D,"July 15, 2019",Absorlution LLC,China,None,White,A37,4 ounces,$18.99,$56.84,$0.00,13
23.5 x 17.5 x 0.1 inches,B00ODRO7W8,"January 12, 2015",All-Absorb,China,None,Blue,A05,0.96 ounces,$37.94,$62.97,$0.00,13
8.75 x 8.5 x 4.5 inches,B09DJBK648,"August 24, 2021",Benebone,USA,None,Brown,503008,2.72 pounds,$33.00,$35.88,$33.93,13
16.5 x 10.83 x 24.5 inches,B07PJ15FT3,"March 7, 2019","IRIS USA, Inc.",United States,None,None,301140,4.4 pounds,$26.75,$118.95,$63.00,13
2.3 x 4.4 x 10.7 inches,B0B87KTN51,"February 9, 2023",Spectrum Brands Pet,USA,None,None,P-98402,1.72 Pounds,$12.35,$34.93,$0.00,13
3.25 x 4.25 x 7 inches,B0812JQKF1,"November 5, 2019",Fetch for Pets,China,None,RED,FF12823,0.97 Pounds,$4.99,$29.22,$0.00,13
3.5 x 3.5 x 1.25 inches,B073SZNNRT,"June 27, 2017",KONG,None,None,Red,KM2,0.07 Kilograms,None,None,None,N/A
9.02 x 2.05 x 2.01 inches,B0791M3T12,"January 15, 2018",Pawfume Premium,USA,None,"Show Dog, Blue Ribbon",SC004,13.4 ounces,$12.99,$28.34,$21.40,13
12.3 x 4.5 x 3 inches,B004LOEKS4,"July 16, 2008",TopDawg Pet Supply,USA,None,None,24087,0.32 ounces,$3.19,$29.00,$0.00,13
8.75 x 8.75 x 2.25 inches,B00L3O4JI6,"April 30, 2014",Outward Hound,China,None,Turquoise,51006,0.55 Pounds,$10.43,$31.26,$21.28,13
3.86 x 1.18 x 1.18 inches,B082Y8TMF8,"March 12, 2020","Linkind Technology Co., Ltd",China,None,Black,ACE003-US,3.04 ounces,$6.99,$25.79,$0.00,13
6 x 3 x 2.5 inches,B000E1U7OO,"March 20, 2007",Multipet International,China,None,Assorted,47711,0.1 Pounds,$2.39,$27.44,$0.00,13
13.5 x 13.5 x 15.75 inches,B076ZV6FR5,"October 30, 2017",Trademark - Pet Product,China,None,Gray,80-PET6001,0.85 Pounds,$7.52,$34.54,$0.00,N/A
3.25 x 3.25 x 6.5 inches,B08GV53MF2,"August 27, 2020",Fetch for Pets,China,None,None,FF12853,0.58 Pounds,$4.49,$27.70,$0.00,13
29.6 x 18.59 x 21.5 inches,B000QFWCK0,"May 10, 2007",MidWest Homes For Pets,China,None,Black,1530DD,17 Pounds,$36.79,$105.19,$61.43,13
6.5 x 2 x 9.65 inches,B07NGM3QRN,"July 9, 2015",Spectrum Brands,China,None,Gray,P-92930,6.56 ounces,$9.49,$29.17,$0.00,13
6.63 x 1.05 x 7.5 inches,B00JZIDFKK,"November 7, 2014",Central Garden & Pet,United States,None,Variety,NR106P,0.13 Kilograms,$8.85,$26.31,$0.00,13
13 x 9.5 x 1.26 inches,B0872J3XV9,"April 14, 2020",Outward Hound,China,None,Buggin Out,69479,0.45 Kilograms,$12.20,$32.84,$22.85,13
3.25 x 3.25 x 6.5 inches,B08FXPBX2M,"August 14, 2020",Fetch for Pets,China,None,Multi Purpose,FF12842,0.58 Pounds,$4.99,$27.62,$0.00,13
11.34 x 10.08 x 12.55 inches,B0017JE6B2,"April 8, 2008",Van Ness Products,United States,None,None,FC10,1.4 pounds,$12.97,$65.57,$12.16,13
2 x 12.6 x 9.4 inches,B00BUFYFKK,"May 13, 2007",TopDawg Pet Supply,USA,None,Purple,032700907457,0.5 Ounces,$3.58,$25.43,$0.00,13
2.25 x 4.73 x 2.9 inches,B0091RE52C,"August 24, 2012",OUT! International,USA,None,None,70544-4P,0.08 Pounds,$7.48,$34.13,$21.51,13
0.98 x 3.78 x 9.88 inches,B01C37TEAO,"February 22, 2016",Fetch for Pets,China,None,Banana Mint,FF6989,102 Grams,$7.99,$26.16,$0.00,13
51.3 x 31.5 x 7.6 inches,B076VXVB2L,"July 27, 2018",Amazon,Vietnam,None,Grey,2007L-GY,8 Pounds,$35.78,$64.09,$43.72,13
8.5 x 6 x 2 inches,B07RBNBGMZ,"June 1, 2019",Bosch,Mexico,"#1,709 in Pet Supplies (See Top 100 in Pet Supplies)  #5 in Cat Claw Care  #12 in Dog Claw Care",None,7760-PGK,9.6 ounces,None,None,None,13
22 x 23 x 0.1 inches,B00EI673B6,"August 13, 2013",All-Absorb,United States,None,Blue,A01,13.61 g,$23.99,$72.28,$0.00,13
3.3 x 4.4 x 8.4 inches,B002LE82YY,"August 4, 2009",OUT!,China,None,white,70662-3P,0.2 Kilograms,$6.80,$29.37,$0.00,13
1.98 x 1.98 x 7.8 inches,B00GZQYK4K,"January 1, 2013",Wahl Clipper Corp.,USA,None,Lavender Chamomile,820014a,7.1 Ounces,$8.99,$27.54,$0.00,13
3 x 7.75 x 8.5 inches,B099NXPQZG,"July 24, 2021",Hartz,China,None,"Neon Green, Neon Pink & Neon Orange",032700129194,6.27 ounces,$11.49,$29.17,$7.46,13
6.2 x 2.6 x 10.4 inches,B001K5E6BI,"November 3, 2008",Spectrum Brands Pet,USA,None,Original,P5554,22.68 g,$14.40,$42.47,$0.00,13
29.1 x 29.1 x 30 inches,B0846CC49J,None,BalanceFrom,China,#451 in Baby (See Top 100 in Baby)  #9 in Door & Stair Baby Gates,None,BFSG-291338-WT,10 pounds,$29.99,$78.34,$47.29,13
14 x 9 x 0.01 inches,B00973JZI4,"August 11, 2012",No,China,#797 in Pet Supplies (See Top 100 in Pet Supplies)  #14 in Dog Waste Bags,Blue,71039,11.7 ounces,$9.36,$28.54,$0.00,13
9 x 3.5 x 1.38 inches,B01CCV8GUA,"March 20, 2015",Fetch for Pets,USA,None,Dander Wipes,FF7372,0.42 Pounds,$6.29,$27.90,$0.00,13
16.85 x 14.65 x 7.01 inches,B08R5MMZSR,"December 22, 2020",U-Play USA,China,None,Green,A55,8.53 pounds,$21.99,$74.66,$0.00,13
54 x 54 x 24 inches,B01HBPW8HY,None,No,China,#794 in Pet Supplies (See Top 100 in Pet Supplies)  #2 in Dog Doors,None,80-62875-B,6 pounds,$22.84,$83.55,$0.00,N/A
30.67 x 19.3 x 21.46 inches,B000OXAERM,"March 28, 2007",MidWest Homes For Pets,China,None,Black,1530,16.7 pounds,$39.62,$91.78,$56.99,13
35.13 x 35.13 x 23.75 inches,B07FDHB4NC,"July 10, 2018","IRIS USA, Inc.",United States,None,White,586680,10.8 Pounds,$49.99,$154.16,$96.86,13
1 x 5 x 8 inches,B000274692,"May 28, 2004",No,China,"#1,639 in Pet Supplies (See Top 100 in Pet Supplies)  #8 in Dog Food Storage",Assorted,1400,0.8 ounces,$5.50,$27.13,$0.00,13
1.25 x 5.8 x 6.8 inches,B01LZDV5X3,"October 5, 2016",Fetch for Pets,United States,None,Navy,FF8649,9 ounces,$4.25,$27.38,$0.00,13
7.52 x 3.39 x 2.01 inches,B0949RKDYC,"May 6, 2021",Douxo S3,USA,None,Translucent,D98420E,16.9 Ounces,$39.50,$30.18,$34.71,13
31.89 x 7.87 x 0.2 inches,B07C22W737,"April 5, 2018",Absorlution LLC,China,None,Blue and White,A24,1.6 Ounces,$17.99,$45.27,$28.36,13
5.12 x 3.94 x 2.95 inches,B00QT4I6UC,"November 2, 2016",Chuckit!,Vietnam,None,White,32314,3.68 ounces,$5.85,$26.55,$0.00,13
6.3 x 9.25 x 6.54 inches,B0BYDS9KHV,"March 14, 2023",PETLIBRO,China,None,Black,PLWF115,2.6 Pounds,$69.99,$38.26,$10.43,13
7 x 5 x 2 inches,B07RYB63DC,"June 1, 2019",Ethical,China,None,Brown,54491,4.8 ounces,$6.98,$26.59,$0.00,13
2.5 x 4 x 9 inches,B0BKQR2J89,"October 28, 2022",Fetch for Pets,China,None,Puppy Wipes,FF20208,1.2 Pounds,$5.99,$38.04,$22.66,13
51 x 31.5 x 8 inches,B0091E7Q2G,"August 24, 2012",Gale Pacific - Pet Products,China,None,Nutmeg,458959,6 Pounds,$24.43,$59.30,$36.96,13
4.5 x 0.75 x 1.25 inches,B0002DGL26,"August 19, 2004",Central Garden & Pet,China,None,Triple Pack,N201PSKP,141 Grams,$8.54,$26.31,$0.00,13
10.51 x 4.61 x 2.76 inches,B09KQVCC67,"October 31, 2021",Spectrum Brands Pet,USA,None,white,P-98366,2.29 pounds,$12.70,$34.13,$23.98,13
2.5 x 2.5 x 2.5 inches,B002TLTZD6,"July 15, 2004",Canine Hardware,China,None,Multi,20520,0.52 Pounds,$9.89,$28.33,$0.00,13
2.8 x 1.2 x 3 inches,B00C1G2JZ0,"January 1, 2005",Company of Animals,USA,None,Multi,00461A,0.07 Kilograms,$9.99,$25.59,$0.00,13
12.4 x 7 x 12 inches,B07227RQJ9,"November 15, 2017",Amazon,China,None,Gray,11020,14.56 ounces,$20.01,$54.12,$36.37,13
11.5 x 6.88 x 8.5 inches,B0015ZK0VI,"January 30, 2007",Van Ness Products,USA,None,GRAY,AF3,1.6 ounces,$8.23,$52.99,$30.37,13
8 x 1.25 x 0.1 inches,B00074L4W2,"October 2, 2001",Radio Systems Corporation,China,None,Black,GL-Q-HC-L-BLK,1.6 Ounces,$16.95,$26.34,$19.98,13
2.76 x 0.39 x 4.33 inches,B07R4PXC7B,"April 29, 2019",Benebone,USA,None,Brown,017169,4.32 ounces,$8.48,$26.70,$0.00,13
3.7 x 2.47 x 9.14 inches,B000634IUO,"December 20, 2002",Cosmos Corporation,United States,None,16 oz,TRTRSP16Z,0.5 Kilograms,$14.99,$29.90,$23.07,13
24 x 4 x 6.5 inches,B000I7TUKG,"July 12, 2004",Multipet,China,None,Assorted,47744,8 ounces,$5.99,$31.84,$0.00,13
18.7 x 3.35 x 37.6 inches,B001OE1PC8,None,No,None,#404 in Baby (See Top 100 in Baby)  #6 in Door & Stair Baby Gates,None,1166 B DS,11 pounds,$39.99,$79.75,$52.09,13
29.92 x 2.17 x 28.74 inches,B01BTUNHSQ,None,No,None,#810 in Baby (See Top 100 in Baby)  #17 in Door & Stair Baby Gates,None,GA105CWH02,9.75 pounds,$44.99,$71.07,$50.52,13
36 x 23 x 25 inches,B01DLS2EY2,"March 23, 2016",MidWest Homes For Pets,China,None,Black,B36,22 Pounds,$57.99,$126.95,$79.50,13
49 x 1 x 30 inches,B01EMK5JQI,None,No,None,#446 in Baby (See Top 100 in Baby)  #8 in Door & Stair Baby Gates,None,1164 EB DS,11 pounds,$39.99,$80.14,$52.27,13
2.75 x 7 x 2.75 inches,B002CZR9QY,"September 30, 2004",Synergy Labs,USA,None,None,FG01250,1.12 Pounds,$8.27,$29.74,$0.00,13
34 x 28 x 0.1 inches,B01LRIG9XA,"September 9, 2016",Absorlution LLC,China,None,Blue and White,A04,3.2 ounces,$16.99,$61.97,$0.00,13
8.03 x 7.8 x 1.77 inches,B08CCG96FR,"July 4, 2020","Best Pet Supplies, Inc.",China,None,Harness (Fuchsia),207T-FSW-S,0.06 Kilograms,$9.07,$28.17,$0.00,13
