Dimension,ASIN,Date First Available,Manufacturer,Country of Origin,Best Sellers Rank,Color,Item Model Number,Item Weight,Price,AmazonGlobal Shipping,Estimated Import Charges,Day Delivered
36.02 x 27 x 17.99 inches,B0793D9WBY,None,No,None,#300 in Baby (See Top 100 in Baby)  #3 in Baby Gyms & Playmats,None,GDD08,0.01 ounces,$48.61,$65.64,$22.12,15
16.5 x 14.2 x 18.1 inches,B07CRSXMW8,None,VTech,China,#109 in Baby (See Top 100 in Baby)  #1 in Baby Walkers,None,80-077069,2.2 pounds,$39.99,$75.72,$7.01,15
16 x 16.3 x 17 inches,B01DGIKD68,None,MGA Entertainment,USA,#542 in Baby (See Top 100 in Baby)  #2 in Stationary Baby Swings,None,642456,3.08 pounds,$29.94,$133.55,$90.11,15
26.38 x 19.49 x 24.41 inches,B08PDPK1JS,None,None,None,#235 in Baby (See Top 100 in Baby)  #1 in Infant Bouncers & Rockers,None,12428,5.68 pounds,$49.98,$103.60,$84.74,15
20 x 9 x 15.25 inches,B09BG36V9N,"July 29, 2021",Swurfer,None,#135 in Toys & Games (See Top 100 in Toys & Games)  #1 in Play & Swing Sets  #1 in Stationary Baby Swings,White,None,None,$30.99,$111.38,$78.69,15
