Dimension,ASIN,Date First Available,Manufacturer,Country of Origin,Best Sellers Rank,Color,Item Model Number,Item Weight,Price,AmazonGlobal Shipping,Estimated Import Charges,Day Delivered
4.5 x 2 x 4.5 inches,B00004YYCS,"October 6, 2004",No,China,"#435,157 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #376 in Scratch Brushes  #48,046 in Hand Tools (Tools & Home Improvement)",None,7200039,2.99 ounces,$10.55,$27.15,$0.00,13
None,B000HLY0H6,"August 11, 2006",Bosch,Germany,"#197,504 in Industrial & Scientific (See Top 100 in Industrial & Scientific)  #473 in Cut-Off Wheels",None,CWCS1M14SC,6.7 ounces,$7.99,$26.67,$0.00,13
None,B000A8PIGI,"November 9, 2005",No,China,"#206,815 in Industrial & Scientific (See Top 100 in Industrial & Scientific)  #433 in Grinding Discs",None,2610906323,3 ounces,$18.87,$25.79,$6.05,13
"7""L x 7""W",B0052IP8Z2,"May 4, 2011",Ivy Classic Industries,China,"#206,988 in Industrial & Scientific (See Top 100 in Industrial & Scientific)  #107 in Surface Grinding Wheels",None,41304,14.5 ounces,$10.02,$28.62,$0.00,13
8 x 3.5 x 1.9 inches,B002XUL07C,"November 9, 2004",BC11418,USA,"#192,334 in Industrial & Scientific (See Top 100 in Industrial & Scientific)  #103 in Flex Hones",None,BC11418,0.01 ounces,$25.60,$26.61,$30.17,13
4 x 1.5 x 4 inches,B01N0Q0AFK,"June 13, 2017",EAB Tool Company USA Inc,China,"#203,753 in Industrial & Scientific (See Top 100 in Industrial & Scientific)  #293 in Abrasive Wheel Brushes",None,2160403,4.9 ounces,$6.48,$26.83,$0.00,13
"5""L x 5""W",B097MXCSHT,"June 21, 2021",36507,USA,"#394,784 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #99 in Power Sander Fiber Backed Abrasive Discs",None,36507,15.2 ounces,$91.00,$31.52,$29.66,N/A
"5""L x 5""W",B01GW48TEQ,"June 10, 2016",No,Taiwan,"#340,824 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #706 in Sander Sheets  #5,299 in Abrasive & Finishing Products",Multi,DWAM4301,0.352 ounces,$4.23,$25.33,$0.00,13
7.6 x 6.5 x 2.6 inches,B07JN94GH2,"November 1, 2018",JET,USA,"#478,255 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #999 in Sander Sheets  #7,540 in Abrasive & Finishing Products",Red,60-25180,1 pounds,$34.09,$29.84,$16.11,13
"8""L x 8""W",B0CRR8W66P,"January 9, 2024",POWERTEC,China,"#180,255 in Industrial & Scientific (See Top 100 in Industrial & Scientific)  #67 in Bench & Pedestal Grinding Wheels",None,15538,10.34 pounds,$52.99,$66.33,$51.90,13
