Dimension,ASIN,Date First Available,Manufacturer,Country of Origin,Best Sellers Rank,Color,Item Model Number,Item Weight,Price,AmazonGlobal Shipping,Estimated Import Charges,Day Delivered
86 x 64 x 1 inches,B076YJKD87,None,No,China,"#21,998 in Home & Kitchen (See Top 100 in Home & Kitchen)  #14 in Kids' Comforter Sets",Kanto Favorites,808,4.5 pounds,$49.98,$48.24,$0.00,13
48 x 24.5 x 9 inches,B000H1MRJO,None,No,None,#758 in Baby (See Top 100 in Baby)  #1 in Infant & Toddler Travel Beds,None,5001 DS,6.25 pounds,$24.99,$60.60,$21.12,13
17.8 x 15 x 10 inches,B08B2YD34C,None,Triangle Home Fashions,China,"#527,581 in Home & Kitchen (See Top 100 in Home & Kitchen)  #69 in Kids' Quilt Sets",White,16T005251,4.99 pounds,$53.95,$72.01,$0.00,13
86 x 68 x 0.5 inches,B07JJP97XM,None,No,China,"#569,032 in Home & Kitchen (See Top 100 in Home & Kitchen)  #75 in Kids' Quilt Sets",Navy,16T002769,6 pounds,$54.99,$97.15,$0.00,13
"43""W x 20""H",B009L2M4VQ,None,No,None,"#5,063 in Baby (See Top 100 in Baby)  #26 in Baby & Toddler Bed Rails & Rail Guards",White,2250 DS,0.01 ounces,$44.99,$60.90,$0.00,13
