Dimension,ASIN,Date First Available,Manufacturer,Country of Origin,Best Sellers Rank,Color,Item Model Number,Item Weight,Price,AmazonGlobal Shipping,Estimated Import Charges,Day Delivered
14 x 9 x 19.5 inches,B07V9HWQ4P,None,Leisure Merchandising Corp.,China,"#18,825 in Clothing, Shoes & Jewelry (See Top 100 in Clothing, Shoes & Jewelry)  #50 in Carry-On Luggage",None,9320 RCHR,7.7 Pounds,$99.99,$141.02,$131.79,N/A
14 x 9 x 21 inches,B08GDR3NXN,None,Briggs & Riley,China,"#118,974 in Clothing, Shoes & Jewelry (See Top 100 in Clothing, Shoes & Jewelry)  #203 in Carry-On Luggage",None,SU221CXSP,8.6 Pounds,$599.00,$121.61,$390.03,13
13.5 x 7.5 x 21 inches,B0CKKPDG6L,None,Travelers Choice,China,"#2,255 in Clothing, Shoes & Jewelry (See Top 100 in Clothing, Shoes & Jewelry)  #46 in Carry-On Luggage",None,US5600K20,1.3 Pounds,$47.98,$104.88,$84.36,13
8 x 18 x 14 inches,B07ZSWTBN3,None,American Tourister,Myanmar,"#78,249 in Clothing, Shoes & Jewelry (See Top 100 in Clothing, Shoes & Jewelry)  #289 in Carry-On Luggage",None,92457-1694,5.72 pounds,$72.71,$84.89,$86.89,13
9.5 x 14.5 x 23 inches,B0CYV2P8P7,None,Travelpro,Vietnam,"#125,520 in Clothing, Shoes & Jewelry (See Top 100 in Clothing, Shoes & Jewelry)  #201 in Carry-On Luggage",None,407242222,6.5 Pounds,$229.49,$145.23,$203.79,13
14 x 9 x 22 inches,B09JT3YLML,None,Heritage Travelware,China,"#21,167 in Clothing, Shoes & Jewelry (See Top 100 in Clothing, Shoes & Jewelry)  #41 in Carry-On Luggage",None,5707207NN,7 Pounds,$79.99,$144.64,$123.00,13
13.8 x 9.1 x 21.7 inches,B07TXM81DB,"July 2, 2019",Thule,None,"#183,060 in Clothing, Shoes & Jewelry (See Top 100 in Clothing, Shoes & Jewelry)  #276 in Carry-On Luggage",Black,None,7.6 Pounds,$320.95,$126.55,$243.03,13
9 x 14.5 x 22.5 inches,B07GJSQ64Y,None,Travelpro International Inc.,China,"#56,741 in Clothing, Shoes & Jewelry (See Top 100 in Clothing, Shoes & Jewelry)  #218 in Carry-On Luggage",None,412152206,130.2 Ounces,$178.49,$139.55,$173.29,13
18 x 13 x 30 inches,B085B4D84X,None,U.S. Traveler,China,"#37,891 in Clothing, Shoes & Jewelry (See Top 100 in Clothing, Shoes & Jewelry)  #68 in Carry-On Luggage",None,US08125L31,7.61 pounds,$91.57,$205.01,$161.71,N/A
13 x 9 x 20 inches,B00Z70KYEA,None,No,China,"#102,855 in Clothing, Shoes & Jewelry (See Top 100 in Clothing, Shoes & Jewelry)  #164 in Carry-On Luggage",None,F145-NAVY,2.95 Kilograms,$58.99,$127.84,$102.65,13
